aabikasa,abikaasa
veedsime,veetsime
veenida,veenda
verderõhku,vererõhku
videopiliga,videopildiga
videosid,videoid
vihikustest,vihikutest
viideosid,videoid
viideote,videote
viietärnuhotellis,viietärnihotellis
viietele,viitele
viimasetgi,viimasedki
viisavad,viisakad
viisidi,visiidi
viist,vist
vimastel,viimastel
violid,viiulid
viskata,visata
voi,või
voib,võib
võilevad,võileivad
võimale,võimaluse
võimaliki,võimalik
võimalikute,võimalike
võimalised,võimelised
voimalus,võimalus
voime,võime
võimsetest,võimsatest
voin,võin
võmalusi,võimalusi
võõrasmaal,võõramaal
võrdsaid,võrdseid
võtasin,võtsin
võttaks,võtaks
võttan,võtan
võtti,võti
